,b'CALLS',b'\xc2\xa0',b'PUTS',b'Chart',b'OI',b'Chng in OI',b'Volume',b'IV',b'LTP',b'Net Chng',b'BidQty',b'BidPrice',b'AskPrice',b'AskQty',b'Strike Price',b'BidQty',b'BidPrice',b'AskPrice',b'AskQty',b'Net Chng',b'LTP',b'IV',b'Volume',b'Chng in OI',b'OI',b'Chart'
26,b'6150',b'600',b'520',b'20.66',b'318.15',b'103.30',b'75',b'313.00',b'321.95',b'75',b'10550.00',b'225',b'18.00',b'19.35',b'75',b'-19.55',b'18.30',b'19.63',b'74008',b'54600',b'248025',,,,,
27,b'130500',b'51975',b'58014',b'18.73',b'269.85',b'90.35',b'75',b'271.05',b'274.90',b'1050',b'10600.00',b'600',b'24.35',b'25.60',b'900',b'-26.40',b'24.35',b'19.09',b'353777',b'189300',b'2136150',,,,,
28,b'30825',b'19350',b'23558',b'21.07',b'239.75',b'97.85',b'150',b'226.90',b'249.70',b'75',b'10650.00',b'75',b'33.35',b'33.45',b'300',b'-33.40',b'31.95',b'18.47',b'149676',b'231375',b'467925',,,,,
29,b'599325',b'209775',b'207048',b'18.36',b'191.00',b'75.80',b'300',b'190.85',b'195.00',b'1050',b'10700.00',b'1050',b'43.05',b'44.00',b'375',b'-41.50',b'43.05',b'18.14',b'417961',b'250725',b'2579925',,,,,
30,b'165075',b'75',b'118485',b'18.37',b'157.10',b'65.90',b'75',b'149.35',b'157.55',b'750',b'10750.00',b'750',b'55.00',b'57.10',b'750',b'-53.45',b'52.25',b'16.83',b'101413',b'222075',b'435000',,,,,
31,b'1428450',b'113250',b'427799',b'18.04',b'125.00',b'55.40',b'150',b'124.00',b'125.00',b'2700',b'10800.00',b'5250',b'72.20',b'73.90',b'75',b'-59.45',b'73.95',b'17.31',b'235043',b'338250',b'2080800',,,,,
32,b'421800',b'74400',b'171604',b'18.04',b'98.55',b'46.90',b'75',b'97.30',b'98.55',b'1050',b'10850.00',b'750',b'92.10',b'94.95',b'75',b'-69.80',b'94.85',b'16.87',b'52915',b'43875',b'285600',,,,,
33,b'1940625',b'-127725',b'432052',b'17.95',b'75.50',b'37.05',b'3075',b'75.05',b'75.50',b'1050',b'10900.00',b'675',b'119.15',b'122.00',b'750',b'-78.25',b'119.15',b'16.27',b'69838',b'-385425',b'898800',,,,,
34,b'571425',b'211875',b'120314',b'17.89',b'56.55',b'28.40',b'300',b'55.05',b'56.30',b'1425',b'10950.00',b'825',b'146.00',b'150.05',b'75',b'-86.10',b'147.70',b'15.61',b'3636',b'-6300',b'117975',,,,,
35,b'4596075',b'87975',b'397490',b'17.83',b'41.25',b'20.35',b'75',b'41.25',b'41.40',b'3225',b'11000.00',b'900',b'180.00',b'183.30',b'75',b'-96.70',b'182.00',b'15.19',b'25859',b'-347250',b'2395350',,,,,
